Fv,Fh,4531,4532,4533,4534
0,0,1.5855,2.3405,0.8305,-0.5285
3500,0,-3.481,2.537,0.236,-1.239
7000,0,-4.8735,4.788,-3.933,-2.8215
10500,0,0.936,1.8096,-3.2136,-0.468
14000,0,10.1616,1.9488,-7.4704,2.9232
17500,0,18.9189,-0.0351,-7.722,7.371
21000,0,37.3065,-2.3485,-10.472,14.861
24500,0,18.748,-1.5696,-3.5207,7.521
28000,0,81.4968,-8.2764,-14.5728,31.4028
31500,0,189.5967,-21.627,-32.2803,71.0487
35000,0,71.9312,-9.112,-11.6848,26.1568
0,0,-0.1025,0.4715,0.7585,0.1025
-3500,0,-0.168,0.24,-0.176,0.04
-7000,0,-2.3324,2.38,4.6648,0.714
-10500,0,-5.3157,3.4827,18.1467,3.8493
-14000,0,-8.82,4.06,39.48,10.99
-17500,0,-6.3516,2.6532,35.9388,10.6128
-21000,0,-5.772,1.872,40.9968,12.636
-24500,0,-19.0968,4.7304,151.11,45.114
-28000,0,-16.958,3.111,131.211,39.894
-31500,0,-28.6624,5.2576,218.9536,67.84
-35000,0,-33.2595,6.9255,256.0725,80.883
0,0,0.2493,-0.1662,1.2465,3.5733
0,0,0.0605,0,0.4235,-2.057
0,3500,6.7914,1.1466,-0.441,-2.7342
0,7000,4.797,0.6355,0.7995,2.3165
0,10500,41.2036,4.9712,15.2004,33.7468
0,14000,21.7558,2.6939,10.7074,20.1531
0,17500,38.7531,5.093,22.6407,38.5216
0,21000,21.9177,2.8968,14.2497,22.9188
0,24500,13.6528,1.8368,9.5648,14.7616
0,28000,73.2888,10.0746,54.1836,80.91
0,31500,20.657,2.912,15.899,23.14
0,35000,55.1928,7.9872,43.992,61.7136
0,0,-1.8088,-1.3566,-1.0982,-1.6796
0,-3500,6.9452,-17.2556,-1.4678,-1.5036
0,-7000,8.6118,-18.1536,-0.8184,-0.744
0,-10500,28.0194,-56.28,-0.603,-0.5226
0,-14000,37.5332,-74.4484,2.884,0.7828
0,-17500,89.947,-180.1382,17.8266,4.7212
0,-21000,76.1092,-155.7348,24.1976,5.7216
0,-24500,55.7265,-115.7809,22.3289,4.9407
0,-28000,51.282,-109.0845,24.0345,5.5755
0,-31500,77.9833,-168.5669,40.4422,9.4394
0,-35000,182.816,-402.288,102.4512,24.2208
0,0,-0.825,-2.0625,-1.155,-6.5175
